Name,Constituency,Caucus,Salaries,Travel,Hospitality,Contracts,Year,Quarter
"McDonald, Ken",Avalon,Liberal,64466.31,6727.4,63.3,11771.57,2021,2
"McGuinty, Hon. David",Ottawa South,Liberal,68915.21,0.0,0.0,16143.47,2021,2
"McKay, Hon. John",Scarborough—Guildwood,Liberal,67123.04,5504.39,0.0,18684.98,2021,2
"McKenna, Hon. Catherine",Ottawa Centre,Liberal,78917.2,26.16,32.98,25727.05,2021,2
"McKinnon, Ron",Coquitlam—Port Coquitlam,Liberal,75591.89,5759.96,701.63,25458.33,2021,2
"McLean, Greg",Calgary Centre,Conservative,73979.28,26583.98,539.96,15065.05,2021,2
"McLeod, Cathy",Kamloops—Thompson—Cariboo,Conservative,79524.76,14924.4,0.0,29394.26,2021,2
"McLeod, Michael",Northwest Territories,Liberal,69227.34,5871.85,0.0,13281.44,2021,2
"McPherson, Heather",Edmonton Strathcona,New Democratic Party,84550.63,21128.52,2769.32,31337.16,2021,2
"Melillo, Eric",Kenora,Conservative,84688.57,17454.4,92.73,31748.31,2021,2
"Mendès, Alexandra",Brossard—Saint-Lambert,Liberal,64885.54,3876.0,0.0,17670.61,2021,2
"Mendicino, Hon. Marco",Eglinton—Lawrence,Liberal,63325.35,4014.95,0.0,16939.5,2021,2
"Michaud, Kristina",Avignon—La Mitis—Matane—Matapédia,Bloc Québécois,69763.89,24348.78,120.45,26073.26,2021,2
"Miller, Hon. Marc",Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Liberal,71010.82,4441.46,0.0,14035.89,2021,2
"Monsef, Hon. Maryam",Peterborough—Kawartha,Liberal,80251.5,5403.27,0.0,27672.0,2021,2
"Moore, Christine",Abitibi—Témiscamingue,New Democratic Party,0.0,0.0,0.0,1991.87,2021,2
"Moore, Hon. Rob",Fundy Royal,Conservative,82670.22,1298.58,69.13,24761.23,2021,2
"Morantz, Marty",Charleswood—St. James—Assiniboia—Headingley,Conservative,78287.35,7780.1,0.0,21072.96,2021,2
"Morneau, Hon. Bill",Toronto Centre,Liberal,56522.66,7569.84,0.0,12489.51,2021,2
"Morrison, Rob",Kootenay—Columbia,Conservative,91052.26,16232.61,0.0,14641.12,2021,2
"Morrissey, Robert",Egmont,Liberal,61513.44,0.0,0.0,13996.32,2021,2
"Motz, Glen",Medicine Hat—Cardston—Warner,Conservative,71214.32,21833.23,345.12,14054.91,2021,2
"Murray, Hon. Joyce",Vancouver Quadra,Liberal,75616.51,9480.4,116.35,22331.43,2021,2
"Nassif, Eva",Vimy,Liberal,0.0,0.0,0.0,95.0,2021,2
"Nater, John",Perth—Wellington,Conservative,73974.0,11553.05,0.0,10750.42,2021,2
"Ng, Hon. Mary",Markham—Thornhill,Liberal,74982.62,7838.77,0.0,21370.49,2021,2
"Normandin, Christine",Saint-Jean,Bloc Québécois,78350.23,8321.37,1728.61,28834.51,2021,2
"O'Connell, Jennifer",Pickering—Uxbridge,Liberal,81782.68,6232.16,470.33,62890.78,2021,2
